Mon,FarASName,FarASN,FarIP,NearIP,far_p,near_p,far_diff,near_diff,code,far_cong_loss_rate,far_uncong_loss_rate,near_cong_loss_rate,near_uncong_loss_rate,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
msy-us,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,8075,207.46.41.30,68.1.4.133,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LLNW-AS Limelight Networks INC. proxy AS object,22822,208.111.158.116,68.1.2.121,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LLNW-AS Limelight Networks INC. proxy AS object,22822,208.111.158.118,68.1.2.109,1,1,0.005,1.017,success-NoPower,0.017,0.012,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,3,17222,98250,849339934
msy-us,NETFLIX Netflix Streaming Inc.,2906,23.246.24.10,68.1.4.252,1,0,0.05,-0.194,failure-NearCongLower-Significant,0.092,0.042,0.286,0.238,07_01_2017_07_31_2017,249673,717,2595086102,6202403,223,243151,1079281,2543438849
msy-us,NETFLIX Netflix Streaming Inc.,2906,23.246.25.10,68.1.1.14,1,0,0.057,0.076,success-CorrelationNotSignificant,0.092,0.035,0.016,0.081,07_01_2017_07_31_2017,516969,82,5351193961,4321070,237,258150,935379,2679563610
msy-us,LEVEL3 Level 3 Communications,3356,4.53.208.197,68.1.5.184,1,1,0.025,1.081,success-NoPower,0.081,0.056,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,397,487927,782651,1403408749
msy-us,LEVEL3 Level 3 Communications,3356,4.53.208.5,68.1.5.184,1,1,0.03,1.099,success-NoPower,0.099,0.069,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,471,476434,953142,1388042837
msy-us,LEVEL3 Level 3 Communications,3356,4.53.209.81,68.1.5.184,1,1,0.034,1.112,success-NoPower,0.112,0.078,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,532,475693,1013669,1299399104
msy-us,LEVEL3 Level 3 Communications,3356,4.53.209.85,68.1.5.184,1,1,0.016,1.113,success-NoPower,0.113,0.097,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,284,251302,771466,795619508
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.101,68.11.14.136,1,1,-0.031,1.114,failure-FarCongLower-NotSignificant,0.114,0.145,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,208,182773,1905552,1310904427
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.1,68.1.2.109,1,0.164,-0.315,-0.016,failure-FarCongLower-NotSignificant,0.067,0.382,0.083,0.231,07_01_2017_07_31_2017,477209,396,3637108681,8422110,56,83158,2528260,660046214
